Provinsi/Kabupaten/Kota,,,,,,,
,[Metode Baru] Indeks Pembangunan Manusia,,,,,,
Nduga,34.1,35.19,,,,,
Lanny Jaya,49.62,50.56,,,,,
Mamberamo Tengah,49.25,50.22,,,,,
Yalimo,49.9,50.87,,,,,
Puncak,43.87,44.59,,,,,
Dogiyai,55.72,56.7,,,,,
Intan Jaya,49.25,50.19,,,,,
Deiyai,50.42,51.18,,,,,
Kota Jayapura,80.61,81.14,,,,,
INDONESIA,72.91,73.55,,,,,
,,,,,,,
Metadata Indikator,,,,,,,
Indikator,Konsep,Definisi,Interpretasi,Metode Perhitungan,Rumus,Ukuran,Dihasilkan dari kegiatan
Indeks Pembangunan Manusia (Metode 2014),-,Indeks yang mengukur pembangunan manusia dari tiga aspek dasar yaitu umur panjang dan hidup sehat; pengetahuan; dan standar hidup layak.,"Capaian pembangunan manusia di suatu wilayah pada waktu tertentu dikelompokkan dalam empat kelompok, yaitu:
1. Kelompok ""Sangat Tinggi"": IPM ≥ 80
2. Kelompok ""Tinggi"": 70 ≤ IPM ≤ 80
3. Kelompok ""Sedang"": 60 ≤ IPM ≤ 70
4. Kelompok ""Rendah"": IPM < 60
Pengelompokan ini bertujuan untuk mengorganisasikan wilayah-wilayah menjadi kelompok-kelompok yang sama dalam hal pembangunan manusia.

Semakin tinggi nilai IPM suatu negara/daerah, menunjukkan pencapaian pembangunan manusianya semakin baik",-,-,,Kompilasi Data Indeks Pembangunan Manusia
